Event,Fecha,Fase,Team A,Team B,URL
womens-basketball-league-americas-2024,Desconocida,FASE DE GRUPOS · GRUPO A,CUF,MAL,https://www.fiba.basketball/es/events/womens-basketball-league-americas-2024/games/118315-CUF-MAL
womens-basketball-league-americas-2024,Desconocida,FASE DE GRUPOS · GRUPO A,FCO,SSI,https://www.fiba.basketball/es/events/womens-basketball-league-americas-2024/games/118314-FCO-SSI
womens-basketball-league-americas-2024,Desconocida,FASE DE GRUPOS · GRUPO A,CUF,SSI,https://www.fiba.basketball/es/events/womens-basketball-league-americas-2024/games/118317-CUF-SSI
womens-basketball-league-americas-2024,Desconocida,FASE DE GRUPOS · GRUPO A,FCO,MAL,https://www.fiba.basketball/es/events/womens-basketball-league-americas-2024/games/118316-FCO-MAL
womens-basketball-league-americas-2024,Desconocida,FASE DE GRUPOS · GRUPO A,SSI,MAL,https://www.fiba.basketball/es/events/womens-basketball-league-americas-2024/games/118319-SSI-MAL
womens-basketball-league-americas-2024,Desconocida,FASE DE GRUPOS · GRUPO A,FCO,CUF,https://www.fiba.basketball/es/events/womens-basketball-league-americas-2024/games/118318-FCO-CUF
womens-basketball-league-americas-2024,Desconocida,FASE DE GRUPOS · GRUPO B,BAP,PIO,https://www.fiba.basketball/es/events/womens-basketball-league-americas-2024/games/118325-BAP-PIO
womens-basketball-league-americas-2024,Desconocida,FASE DE GRUPOS · GRUPO B,IND,SAL,https://www.fiba.basketball/es/events/womens-basketball-league-americas-2024/games/118324-IND-SAL
womens-basketball-league-americas-2024,Desconocida,FASE DE GRUPOS · GRUPO B,SAL,BAP,https://www.fiba.basketball/es/events/womens-basketball-league-americas-2024/games/118321-SAL-BAP
womens-basketball-league-americas-2024,Desconocida,FASE DE GRUPOS · GRUPO B,IND,PIO,https://www.fiba.basketball/es/events/womens-basketball-league-americas-2024/games/118320-IND-PIO
womens-basketball-league-americas-2024,Desconocida,FASE DE GRUPOS · GRUPO B,PIO,SAL,https://www.fiba.basketball/es/events/womens-basketball-league-americas-2024/games/118323-PIO-SAL
womens-basketball-league-americas-2024,Desconocida,FASE DE GRUPOS · GRUPO B,IND,BAP,https://www.fiba.basketball/es/events/womens-basketball-league-americas-2024/games/118322-IND-BAP
womens-basketball-league-americas-2024,Desconocida,SEMIFINALES,BAP,SSI,https://www.fiba.basketball/es/events/womens-basketball-league-americas-2024/games/119975-BAP-SSI
womens-basketball-league-americas-2024,Desconocida,SEMIFINALES,IND,CUF,https://www.fiba.basketball/es/events/womens-basketball-league-americas-2024/games/119974-IND-CUF
womens-basketball-league-americas-2024,Desconocida,3RD PLACE GAME,CUF,SSI,https://www.fiba.basketball/es/events/womens-basketball-league-americas-2024/games/119976-CUF-SSI
womens-basketball-league-americas-2024,Desconocida,FINAL,IND,BAP,https://www.fiba.basketball/es/events/womens-basketball-league-americas-2024/games/119977-IND-BAP
